air_date,round,category,value,question,answer
2/16/01,Final Jeopardy!,THE WESTERN HEMISPHERE,,"Written in 1904, ""Himno Istmeno"" is the national anthem of this country that won its independence a year earlier",Panama
7/19/07,Final Jeopardy!,THE 50 STATES,,It was the only state physically & politically formed directly because of the Civil War,West Virginia
3/30/98,Final Jeopardy!,WORD ORIGINS,,"This type of establishment gets its name from the Latin for ""to restore""",a restaurant
1/19/04,Final Jeopardy!,RANKS & TITLES,,"Queen Victoria & Indira Gandhi each held this title, though only one was official",Empress of India
10/16/06,Final Jeopardy!,FROM MOVIE TO MUSICAL,,"A play-within-a-play, called ""Pretty Lady"", suddenly needs a new leading lady in this ever-popular musical",42nd Street
3/3/06,Final Jeopardy!,AMERICAN LITERATURE,,"This 1906 novel says, ""Now & then a visitor wept, to be sure; but this slaughtering machine ran on, visitors or no...""",The Jungle
3/26/97,Final Jeopardy!,20th CENTURY LEADERS,,"In 1914 Jan Smuts wrote of this man's departure, ""The saint has left our shores, I hope forever""",Mahatma Gandhi
7/9/98,Final Jeopardy!,THE EARTH,,"On the line of latitude known as this, the sun doesn't rise on the winter solstice or set on the summer","Arctic Circle (or for people in the Southern Hemisphere, the Antarctic Circle)"
12/3/97,Final Jeopardy!,SCULPTURE,,"Standing on the banks of the Concord River, it's also known as the ""Statue of the Embattled Farmer""",the Minuteman Statue (by Daniel Chester French)
10/30/92,Final Jeopardy!,THE SUPREME COURT,,The 1973 case Doe v. Bolton was decided with this more famous case,Roe v. Wade
4/2/98,Final Jeopardy!,THE 20th CENTURY,,"In 1916, his assassins included a prince and a grand duke",Rasputin
11/30/98,Final Jeopardy!,BANDS,,"This band's last surviving brother lives & records in St. Charles, Illinois, far from the ocean",The Beach Boys
1/19/05,Final Jeopardy!,CLASSIC AMERICAN SONGS,,"The introductory verse to this 1908 song begins, ""Katie Casey was baseball mad""","\""Take Me Out To The Ball Game\"""
3/19/10,Final Jeopardy!,1940s MUSIC HISTORY,,"While writing for Billboard, legendary producer Jerry Wexler coined this phrase to replace ""race music""",rhythm & blues
10/2/96,Final Jeopardy!,ACTOR-DIRECTORS,,This 1990 winner is the most recent to win the Best Director Oscar for his directorial debut,Kevin Costner
10/1/09,Final Jeopardy!,GEOGRAPHIC NAMES,,"For 200 years, much of this large current country was known as ""Rupert's Land"", in honor of a cousin of Charles II",Canada
11/13/07,Final Jeopardy!,THE MOVIES,,The title of this award-winning 1963 film refers to the number of films its director felt he had made to that point,8�_
10/21/11,Final Jeopardy!,CHILDREN'S LITERATURE,,"In the original 1883 work, this title character kills a talking cricket, has his feet burned off & nearly starves",Pinocchio
10/2/09,Final Jeopardy!,EMMY WINNERS,,"These 2 men with 16 total career Emmys appeared in series with Mary Tyler Moore, one playing a TV host, one a TV producer",Ed Asner & Carl Reiner
1/21/05,Final Jeopardy!,FICTIONAL CHILDREN,,This boy introduced in a 1902 book flew away from his mother when he was 7 days old,Peter Pan
7/12/04,Final Jeopardy!,NAMES IN THE BIBLE,,"Daniel means ""God is my judge"", Ezekiel, ""God strengthens""; & this name in Genesis 32, ""he strives with God""",Israel
6/15/05,Final Jeopardy!,20th CENTURY ATHLETES,,"In 1938, at age 25, she became the youngest person made a Knight First Class of the Order of St. Olav",Sonja Henie
11/7/94,Final Jeopardy!,U.S. LANDMARKS,,"James Hoban, who designed & built this, had to rebuild it after a fire in 1814",the White House
12/14/00,Final Jeopardy!,BIOGRAPHIES,,"Carl Sandburg co-wrote a 1932 biography of this woman, ""Wife and Widow""",Mary Todd Lincoln
10/26/98,Final Jeopardy!,ARCHAEOLOGY,,In 1997 aerial surveys found the Pleasure Dome he built in the 13th century,Kublai Khan
1/26/01,Final Jeopardy!,POTENT POTABLES,,"Named for the club where it was first made, this drink was created to honor Samuel Tilden's election as governor",Manhattan
10/6/04,Final Jeopardy!,2004,,"On Monday, December 13, 3 people designated these will meet in Cheyenne, Wyoming to help decide the world's future",electors
3/5/07,Final Jeopardy!,STATE CAPITALS,,"Located in the Central Time Zone, it's the largest city by population to have no MLB, NFL, NBA or NHL team","Austin, Texas"
6/1/06,Final Jeopardy!,PLAYWRIGHTS,,"In 2005 Broadway's Virginia Theatre was renamed to honor this late author, the first African-American so honored",August Wilson
6/25/03,Final Jeopardy!,TELEVISION,,"In Apple's I-Movie program, the effect seen here that's done with photos is named for this TV filmmaker",Ken Burns
12/20/96,Final Jeopardy!,REPUBLICANS,,2 of the 3 Republicans elected vice president twice,"Spiro Agnew, George (H.W.) Bush & Richard Nixon"
10/13/05,Final Jeopardy!,HOBBIES,,"This word comes from the Greek words for ""light"" & ""writing""",photography
3/1/01,Final Jeopardy!,RECENT INNOVATIONS,,"Known by a 3-letter abbrev., it was first proposed in 1989 by software developer Tim Berners-Lee",World Wide Web (www)
4/23/04,Final Jeopardy!,CLASSICAL COMPOSERS,,"The first movement of his 1868 first symphony is subtitled ""Dreams of a Winter Journey""",Pyotr Ilyich Tchaikovsky
12/26/06,Final Jeopardy!,THE STOCK MARKET,,"In 2006 this Milwaukee-based co. announced its new stock symbol, ""HOG"", at a gathering in Sturgis, S.D.",Harley-Davidson
2/7/01,Final Jeopardy!,SPACE EXPLORATION,,In October 1998 this man went into space as the oldest U.S. astronaut ever,John Glenn
3/7/05,Final Jeopardy!,SPORTS PHRASE ORIGINS,,"In 1939 an Illinois sports official wrote ""A little"" of this alliterative phrase may ""contribute to sanity""",March Madness
7/18/11,Final Jeopardy!,WORLD GEOGRAPHY,,"Of the 4 largest Asian countries in area, it's the only one that borders the other 3",China
11/9/04,Final Jeopardy!,THEATRICAL PREMIERES,,"The ""Playboy Riots"" took place in this world capital in 1907 following a theatrical premiere",Dublin
4/26/06,Final Jeopardy!,LITERARY OBJECTS,,"In literature from the 1200s to today, it has been depicted as a type of dish, a talismanic stone & a woman",the Holy Grail
2/23/10,Final Jeopardy!,MONARCHS,,"In 2001 Bulgaria elected as prime minister its former child monarch, the only person now living to have held this royal title",czar
11/6/89,Final Jeopardy!,U.S. STATES,,"With over 35,000 miles, this state has the longest highway system in the U.S.",Texas
4/3/00,Final Jeopardy!,TECHNOLOGY,,"In 1933 Marconi set up one of the first microwave radio systems, between Castel Gandolfo & this sovereign state",Vatican City
5/10/01,Final Jeopardy!,POLITICAL PARTIES,,In 1850 it was the name of the party of the British prime minister & of the U.S. president,the Whig Party
11/25/93,Final Jeopardy!,20th CENTURY LEADERS,,"At age 13 in 1926, he was accepted as a novice at the abbey of Kykkos; he later taught there",Archbishop Makarios
12/16/99,Final Jeopardy!,CONTROVERSIAL FOOD & DRINK,,"Pope Clement VIII said of this beverage around 1600, ""We shall cheat Satan"" by baptizing it as a Christian beverage",Coffee
5/8/00,Final Jeopardy!,U.S. STATES,,"Before Congress named it for a person, its residents wanted to call it the territory of Columbia",Washington
11/24/06,Final Jeopardy!,WORD ORIGINS,,"Meaning to ascribe predetermined characteristics, this word comes from a printing process using metal plates",stereotype
6/17/98,Final Jeopardy!,TELEVISION PERSONALITIES,,He was ordained by Pittsburgh Presbytery in 1962 with a charge to work with children through the media,"Fred Rogers (host of \""Mister Rogers' Neighborhood\"")"
12/22/08,Final Jeopardy!,ALMA MATERS,,Former governor & onetime presidential hopeful Mitt Romney earned his B.A. in 1971 from this university,BYU (Brigham Young University)
11/15/90,Final Jeopardy!,SPACE EXPLORATION,,"Next pair in the sequence:  Gumdrop, Spider;  Charlie Brown, Snoopy;...",the Columbia & the Eagle
5/25/99,Final Jeopardy!,ROMAN EMPERORS,,The 2 Roman emperors during the time that Jesus Christ walked the Earth,Augustus Caesar & Tiberius
11/27/07,Final Jeopardy!,CURRENT AMERICAN BUSINESS,,"This co.'s name is a variation on a word coined by Milton Sirotta & used in the book ""Mathematics and the Imagination""","Google, Inc."
5/24/89,Final Jeopardy!,WORLD CITIES,,"Linked by the world's 5th longest suspension bridge, it lies in both Europe & Asia",Istanbul
9/29/09,Final Jeopardy!,MUSIC HALLS OF FAME,,2 of the 4 Country Music Hall of Fame acts who are also in the Rock & Roll Hall of Fame as performers,"(2 of) Johnny Cash, Elvis Presley, Brenda Lee & the Everly Brothers"
9/30/09,Final Jeopardy!,HISTORIC HEADLINES,,"On Sept. 30, 2008 Daily Variety reprised this 5-word headline from Oct. 30, 1929",Wall Street Lays An Egg
4/4/08,Final Jeopardy!,SHOW BUSINESS,,"The wings on this, created in 1948, represent the ""muse of art""; the atom represents the ""electron of science""",the Emmy Award
4/30/01,Final Jeopardy!,HISTORIC QUOTATIONS,,"On July 13, 1859 he told Horace Greeley, ""I have fifteen wives; I know no one who has more""",Brigham Young
10/20/04,Final Jeopardy!,BIBLICAL WEIGHTS AND MEASURES,,"As described in the Bible, the total volume of this was 450,000 cubic cubits",Noah's Ark
3/29/04,Final Jeopardy!,U.S. GOVERNMENT,,In 1924 he succeeded William J. Burns who had resigned; he remained in his position for the next 48 years,J. Edgar Hoover
5/9/02,Final Jeopardy!,PULITZER PRIZE-WINNING BOOKS,,One of its title studies is Sen. Edmund Ross' 1868 vote against convicting President Andrew Johnson,Profiles in Courage
12/17/96,Final Jeopardy!,ASIA,,It's the largest landlocked country in the world,Mongolia
11/20/00,Final Jeopardy!,BRITAIN'S NATIONAL PORTRAIT GALLERY,,In April 2000 the portrait of this living woman was moved from the Contemporary section to History,Margaret Thatcher
11/11/09,Final Jeopardy!,THE WORLD AFTER WWII,,This peninsula was divided when Japan surrendered to the U.S. below the 38th parallel & to the Soviet Union north of it,the Korean Peninsula
11/6/07,Final Jeopardy!,HISTORIC NAMES,,"He is quoted as saying, ""Another such victory over the Romans, and we are undone""",Pyrrhus
2/26/99,Final Jeopardy!,THE TITANIC,,This man whose invention was used to call for help held a ticket for the voyage but changed his plans,Guglielmo Marconi
2/27/08,Final Jeopardy!,WORD ORIGINS,,"It's from the Latin for ""hemp"" because it was often made of hemp; add a letter & it means to take a survey",canvas
4/12/96,Final Jeopardy!,ARTISTS,,"At a May 1995 auction, a painting by her sold for $3.2 million, barely topping one by her husband",Frida Kahlo
3/3/97,Final Jeopardy!,SCOTTISH INVENTORS,,"In 1815 he was appointed Surveyor General of Roads in Bristol, England",Sir John MacAdam
1/23/03,Final Jeopardy!,HISTORIC NAMES,,In 2002 Christie's auctioned off his own account of his 48-day journey & his coconut cup with the date April 1789 on it,Captain William Bligh (after he got bounced off the Bounty)
11/24/98,Final Jeopardy!,1998 DISCOVERIES,,"Discovered by a student, the largest known one of these fills as many pages as a good-sized novel",The World's Largest Prime Number
5/21/08,Final Jeopardy!,WORLD HISTORY,,"One of history's largest refugee migrations, about 15 million people, took place 1947-1951 between these 2 countries",Pakistan & India
3/30/07,Final Jeopardy!,'60s OSCAR-WINNING FILMS,,"Although 216 minutes long, this 1962 film had no women in credited speaking roles",Lawrence of Arabia
12/2/11,Final Jeopardy!,WORD ORIGINS,,"This word for a friend comes from the Latin for ""with whom you would eat bread""",companion
5/17/99,Final Jeopardy!,BRITISH AUTHORS,,In 1954 she became the first recipient of the Grand Master Award from the Mystery Writers of America,Agatha Christie
11/29/01,Final Jeopardy!,ARTISTS,,"Christopher Buckley called his book on the life and work of this artist ""Blossoms and Bones""",Georgia O'Keeffe
12/16/92,Final Jeopardy!,U.S. LAKES,,Wizard Island sits in this lake in what was once Mount Mazama,Crater Lake
6/21/10,Final Jeopardy!,AFTER THE PRESIDENCY,,One of the 2 presidents to return to elected jobs in U.S. federal government after their final terms,(1 of) John Quincy Adams or Andrew Johnson
6/30/00,Final Jeopardy!,MOVIE DIRECTORS,,Last name of the director whose production company is called 1492 Pictures,(Chris) Columbus
12/3/07,Final Jeopardy!,AUTHORS,,Her first published writings appeared in the Shanghai Mercury when she was 7,Pearl Buck
5/15/06,Final Jeopardy!,MYTHOLOGY,,"The name of this monster is from the Greek for ""she-goat""",the Chimera
4/1/91,Final Jeopardy!,NATIONAL ANTHEMS,,"This country's national anthem is ""William of Nassau""",the Netherlands
5/9/08,Final Jeopardy!,ANCIENT TIMES,,"Plutarch's chapter on Romulus quotes this much later man as saying, ""I love treason but hate a traitor""",Julius Caesar
7/24/06,Final Jeopardy!,OSCAR-NOMINATED MOVIES,,"One of the 2 Best Picture nominees in which CBS newsman & ""60 Minutes"" producer Don Hewitt is a character",(1 of) The Insider & Good Night and Good Luck
2/11/98,Final Jeopardy!,THE ACADEMY AWARDS,,1 of the 2 Best Picture winners in the 1990s with one-word titles,Braveheart or Unforgiven
6/19/03,Final Jeopardy!,FRUIT,,"From Greek for ""finger"", the Arabs claim it has as many culinary & pharmaceutical uses as days in a year",the date
5/30/11,Final Jeopardy!,SCIENCE TERMS,,This term for the lowest level of the ocean that the sun's rays can reach shares its name with a classic 1960s TV show,the twilight zone
12/21/09,Final Jeopardy!,20th CENTURY WEDDINGS,,"Her 1956 wedding attracted more than 1,500 news reporters to a country with just 20,000 citizens at the time",Grace Kelly
12/1/89,Final Jeopardy!,LANGUAGES,,To have taken the 1st modern IQ test in 1905 you had to understand this language,French (the Binet-Simon test)
3/15/05,Final Jeopardy!,ARTISTIC MASTERPIECES,,"""Shouldn't the shining dots of the sky be as accessible as the black dots on the map of France?"" the artist wrote of this work",The Starry Night (by Vincent Van Gogh)
11/27/00,Final Jeopardy!,WORD ORIGINS,,"Used in the '40s for a sudden loss of power in a jet engine, Herbert Freudenberger applied it in 1974 to spent people",Burnout
10/15/97,Final Jeopardy!,20th CENTURY NOVELISTS,,"After success writing in English, he & his son Dmitri translated some of his earlier Russian novels",Vladimir Nabokov
12/11/98,Final Jeopardy!,FAMOUS WOMEN,,This author was a contributing editor of Asia magazine from 1941 to 1946,Pearl S. Buck
7/23/08,Final Jeopardy!,CIVIL WAR HISTORY,,"Though 1863's Emancipation Proclamation applied only to the Confederacy, this Union state, one of the original 13, ended slavery November 1, 1864",Maryland
9/27/02,Final Jeopardy!,THE EAST COAST,,It's the only U.S. island allowed to use a possessive apostrophe by the U.S. Board on Geographic Names,Martha's Vineyard
10/14/09,Final Jeopardy!,POETS,,"In a 1921 letter this American-born poet had ""a long poem in mind... which I am wishful to finish"", & he did at 433 lines",T.S. Eliot
11/25/99,Final Jeopardy!,U.S. STATES,,"The 2 states which have ""Waltz"" in the title of their state songs",Missouri & Tennessee
